level_0,index,Year,"Abandoning a child, child neglect and cruelty",Abduction of person under 16 years of age,Aggravated burglary,Aggravated sexual assault,Arson,"Assault causing harm, poisoning","Attempts/threats to murder, assaults, harassments and related offences",Blackmail or extortion,Burglary (not aggravated),Burglary and related offences,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Controlled drug offences,Criminal damage (not arson),Cultivation or manufacture of drugs,Damage to property and to the environment,Dangerous driving causing serious bodily harm,Dangerous driving leading to death,Dangerous or negligent acts,Defilement of a boy or girl less than 17 years old,Discharging a firearm,Disorderly conduct,Driving/in charge of a vehicle under the influence of drugs,Driving/in charge of a vehicle while over legal alcohol limit,Endangering traffic offences,Endangerment with potential for serious harm/death,"Explosives, chemical weapons offences",False alarm/interference with aircraft or air transport facilities,False imprisonment,Fireworks offences,"Fraud, deception and related offences",Harassment and related offences,Homicide offences,Human trafficking offences,Importation of drugs,Infanticide,Kidnapping and related offences,Liquor licensing offences,Litter offences,Manslaughter,Murder,Murder-attempt,Offences against government and its agents,"Offences against government, justice procedures and organisation of crime","Offences while in custody, breach of court orders",Offensive weapons offences (n.e.c.),Organisation of crime and conspiracy to commit crime,Other assault,Other drug offences,Other sexual offences,"Other thefts, handling stolen property",Perverting the course of justice,Possession of a firearm,"Possession of an article (with intent to burgle, steal, demand)",Possession of drugs for personal use,Possession of drugs for sale or supply,Prostitution offences,Public order and other social code offences,Rape of a male or female,"Regulated betting/money, collection/trading offences",Robbery from the person,Robbery of an establishment or institution,Robbery of cash or goods in transit,"Robbery, extortion and hijacking offences",Sexual assault (not aggravated),Sexual offence involving mentally impaired person,Sexual offences,Social code offences (n.e.c.),Theft and related offences,Theft from person,Theft from shop,Theft/taking of vehicle and related offences,Threat to kill or cause serious harm,Trespass offences,Unseaworthy/dangerous use of boat or ship,Weapons and Explosives Offences
0,0,2003,44.5,6.0,81.75,2.75,354.5,985.25,3384.0,5.25,6301.75,6438.75,22.75,2323.75,8129.5,18.0,8505.75,5.0,12.25,2990.5,28.0,52.5,9416.25,19.25,2870.25,35.75,12.75,13.0,3.0,18.25,0.0,909.25,266.0,25.0,0.0,9.0,0.0,24.25,1085.5,21.75,4.0,8.75,1.25,49.5,1709.25,1595.25,320.75,2.75,2121.0,93.25,25.25,9480.5,61.75,92.25,55.25,1626.5,577.0,49.0,11285.5,81.25,76.0,429.0,257.5,13.25,727.75,250.0,5.75,393.0,299.0,18354.75,1665.5,3922.25,3286.5,10.5,359.75,0.0,478.5
1,1,2004,47.75,3.0,70.5,3.5,375.0,972.25,3318.0,3.75,6104.25,6224.5,21.25,2478.5,8857.75,9.75,9259.25,7.25,19.75,3167.25,28.25,72.75,9556.5,19.0,3039.0,30.75,18.75,16.25,4.75,15.75,0.25,794.0,244.0,31.0,0.0,9.0,0.0,18.75,1672.0,26.5,4.0,7.25,0.25,41.25,1614.5,1503.5,356.0,4.0,2089.75,115.0,15.75,9310.0,65.75,93.5,49.75,1799.0,545.75,54.75,11945.25,102.5,79.25,369.75,269.0,15.25,679.0,216.25,3.5,369.75,191.0,18047.25,1427.25,3720.25,3589.75,11.75,391.75,0.0,538.75
2,2,2005,66.0,4.0,68.5,1.75,353.5,927.25,3420.75,4.5,6475.25,6593.0,18.0,3336.5,9543.25,12.5,9928.75,5.5,17.0,3676.25,28.5,77.75,10607.0,26.5,3516.0,37.75,20.0,25.5,4.5,14.5,0.75,934.75,279.0,34.25,0.0,9.0,0.0,18.5,2421.0,32.0,4.25,13.0,1.75,36.75,1946.75,1852.5,426.5,1.25,2189.0,135.25,14.5,9443.25,56.25,107.75,49.25,2516.75,663.0,21.25,13870.75,105.0,92.5,284.25,288.0,11.0,605.75,237.25,3.0,390.0,269.0,18258.25,1152.5,4115.75,3546.75,23.75,460.0,0.0,638.25
3,3,2006,75.0,3.0,71.25,4.0,415.0,1001.25,3889.5,2.75,6075.25,6205.0,22.5,3557.5,10447.0,22.75,10897.0,6.0,17.5,4799.25,17.5,74.25,11811.75,29.25,4629.75,37.75,17.5,41.5,4.0,17.5,9.5,1084.25,417.25,36.0,0.0,10.75,0.0,20.5,1412.0,35.0,3.75,14.75,2.0,59.5,2370.25,2243.75,550.75,4.75,2444.75,151.5,14.75,9708.75,62.25,104.75,58.5,2622.75,749.75,26.25,14149.25,91.25,104.25,313.5,275.75,7.75,622.25,229.0,3.75,360.25,204.5,18629.0,897.5,4608.75,3414.0,24.25,590.5,0.0,780.75
4,4,2007,138.5,3.75,65.0,4.25,525.0,978.0,4534.75,5.25,5862.75,6002.75,16.25,4630.5,10240.25,40.5,10819.0,6.5,16.5,5182.0,17.75,82.75,12835.5,72.25,4886.75,55.5,17.0,7.0,5.25,23.25,62.5,1568.5,635.25,38.25,0.0,13.25,0.25,27.0,1229.25,53.75,2.0,19.5,1.0,85.25,2729.0,2593.25,643.5,2.5,2879.5,183.5,23.0,9960.0,48.0,103.75,75.0,3498.5,894.75,27.5,15175.25,88.75,135.25,320.5,204.0,5.0,551.0,203.0,3.0,339.75,187.25,18782.0,727.25,4692.0,3402.75,41.0,760.5,0.25,899.5
5,5,2008,136.0,3.25,82.0,3.0,575.0,960.75,4929.0,5.5,6132.0,6319.75,29.25,5838.5,10434.75,54.0,11085.75,4.5,12.0,4805.75,19.75,55.75,13396.25,188.5,4389.5,63.75,12.75,11.75,10.25,14.5,83.25,1436.75,766.25,28.25,1.0,16.75,0.0,18.75,962.5,76.0,3.5,12.75,2.75,85.0,3297.5,3166.25,743.25,2.75,3148.0,182.75,17.0,9768.0,43.5,113.0,105.75,4518.75,1066.25,32.75,15518.25,83.0,107.5,323.25,217.5,6.75,582.25,192.75,1.75,317.25,88.75,19201.25,812.25,5006.75,3614.25,51.25,930.5,0.5,1007.0
6,6,2009,126.5,3.25,92.5,2.5,752.25,929.5,4728.5,6.25,6679.25,6879.75,26.0,5466.25,9662.0,67.75,10476.0,4.25,9.0,3757.75,27.25,58.25,12385.75,218.25,3323.75,62.75,16.25,12.0,5.25,21.0,107.25,1306.75,702.5,24.75,11.25,11.5,0.0,35.5,816.25,61.75,2.5,13.25,1.75,132.75,2938.25,2767.75,744.75,1.25,3038.0,206.0,24.75,10103.25,36.5,100.5,108.0,4189.75,991.25,23.5,14369.75,90.75,114.5,334.0,258.5,6.0,630.75,239.5,2.0,386.75,71.0,19227.75,658.75,5137.75,3328.0,56.75,958.75,0.75,1022.75
7,7,2010,108.5,5.5,83.0,1.75,643.25,920.0,4558.25,6.0,6318.5,6528.75,30.25,4945.5,8996.5,133.0,9699.0,4.75,11.75,2924.25,39.0,44.75,11823.75,144.25,2577.5,71.0,14.0,10.5,1.75,20.25,115.25,1377.25,649.0,27.25,7.25,7.25,0.0,33.0,690.5,59.25,2.0,13.5,2.0,83.75,2798.5,2685.5,756.75,4.5,2895.5,186.75,42.75,10357.25,24.75,101.75,127.25,3594.5,1024.0,46.0,13712.75,117.5,105.75,495.75,272.0,5.25,809.25,371.25,3.75,576.0,94.25,19161.0,705.5,5193.75,2904.5,91.75,952.5,2.5,1029.0
8,8,2011,49.25,3.25,83.5,2.25,575.75,885.25,4291.5,6.0,6811.25,7052.25,25.0,4391.75,8149.5,144.5,8783.5,3.25,6.75,2422.0,36.0,40.75,10518.75,105.25,2185.75,51.25,25.25,20.0,1.25,19.25,86.0,1374.0,522.0,19.75,6.25,10.0,0.0,28.75,577.5,58.25,2.5,10.5,2.0,112.0,2504.25,2364.5,653.5,5.5,2784.0,132.5,37.75,10654.25,22.25,70.75,157.5,3151.0,953.75,54.5,12237.0,111.75,74.25,428.0,268.75,10.5,738.25,298.25,3.5,489.5,124.25,19164.25,910.75,4978.5,2620.75,98.25,887.75,0.75,871.0
9,9,2012,57.25,4.0,70.5,1.75,529.75,803.25,3926.75,9.5,6859.0,7116.5,24.25,4093.75,7429.25,128.25,8031.0,1.75,7.25,2210.75,32.25,35.75,9330.0,69.0,2011.0,51.75,17.0,22.5,2.0,16.25,67.0,1427.5,480.25,22.0,4.0,7.5,0.0,24.25,475.5,72.0,2.0,12.75,2.25,68.5,2357.75,2262.75,573.75,1.5,2574.0,145.25,35.25,10768.25,25.0,61.5,187.0,2948.5,864.25,35.5,10946.25,114.0,74.0,403.5,253.5,12.25,703.0,304.75,6.0,494.0,201.25,19029.25,1253.25,4887.75,2120.0,67.0,830.0,1.0,760.5
10,10,2013,56.5,6.25,74.75,2.25,478.5,767.75,3591.75,6.25,6332.5,6577.75,16.5,3831.0,6640.75,97.5,7191.25,3.0,9.0,1872.75,21.75,40.5,7702.0,66.25,1687.0,41.25,17.25,14.75,1.0,20.0,36.5,1198.75,376.25,23.75,4.0,11.0,0.0,30.25,344.5,72.0,3.0,11.75,3.0,69.5,2293.25,2207.25,544.5,1.0,2361.25,122.5,31.75,11011.0,15.5,48.0,170.5,2790.0,810.0,29.75,9098.5,98.0,80.25,419.5,247.0,9.75,699.0,320.0,3.0,476.75,206.75,19606.75,1617.25,5138.5,1840.0,83.5,735.25,0.5,684.25
11,11,2014,62.0,8.25,78.75,1.25,430.25,790.75,3792.5,5.5,6688.0,6927.5,24.75,3964.75,6336.75,86.25,6833.0,3.25,13.25,1807.25,31.5,33.5,6698.0,66.25,1619.25,36.5,18.5,12.5,1.25,15.0,28.5,1290.75,375.75,27.75,7.75,7.5,0.0,31.0,318.0,66.0,2.75,11.75,3.75,81.25,2444.5,2348.5,494.5,1.0,2518.75,170.0,26.5,10881.0,13.75,49.25,160.75,2810.75,890.25,32.25,8151.0,120.5,73.25,413.5,212.0,6.5,662.25,310.0,3.0,492.75,326.0,19408.0,1366.25,5219.5,1941.25,103.5,703.5,0.25,618.25
12,12,2015,42.0,7.25,67.0,2.25,430.0,878.75,4229.0,13.5,6364.25,6580.25,24.25,3761.75,6010.0,60.0,6485.75,3.0,11.75,1779.25,32.5,37.75,6371.75,55.25,1603.75,48.75,24.25,7.25,0.5,23.5,23.75,1448.0,378.5,21.0,7.0,4.75,0.0,37.75,269.5,45.75,2.5,6.75,3.25,70.25,2867.5,2780.0,473.25,2.5,2821.25,123.5,52.25,10304.75,14.75,51.75,149.0,2732.25,841.25,14.25,8313.0,129.75,72.75,369.25,232.0,4.5,643.5,350.5,5.75,573.0,899.0,18922.75,1343.0,5663.5,1611.5,147.25,685.75,1.75,593.75
13,13,2016,66.75,6.75,52.75,2.25,399.25,911.0,4181.0,17.25,4472.5,4646.0,19.75,4004.25,5101.25,65.5,5543.0,2.25,11.0,1922.25,40.25,25.25,6021.5,54.25,1731.25,40.25,26.5,3.5,0.75,18.0,33.5,1231.5,349.25,21.5,6.5,7.0,0.0,31.25,226.0,42.5,2.25,8.25,6.0,63.5,3091.25,3012.0,421.75,2.75,2765.75,178.25,73.0,8416.5,13.0,49.5,120.75,2848.25,905.25,8.5,7300.25,129.25,52.0,307.25,175.25,7.0,526.5,380.5,4.75,630.0,472.25,16114.0,1187.5,5373.0,1137.0,149.0,520.0,0.25,533.5
14,14,2017,95.75,5.25,57.25,1.5,424.25,1026.0,4748.0,18.75,4635.25,4801.5,23.0,4189.0,5318.5,61.75,5783.5,3.5,12.25,2091.25,39.75,23.25,6335.0,70.0,1839.75,51.25,28.5,8.75,1.5,19.75,46.0,1350.25,400.5,24.0,7.75,5.25,0.0,32.75,206.5,40.75,2.5,9.25,3.25,45.5,3463.5,3402.0,463.75,2.25,3130.5,123.0,87.25,9234.0,13.75,52.75,109.0,3039.25,959.75,9.75,7794.5,163.5,53.0,321.5,179.0,3.75,546.0,421.75,7.25,721.0,598.5,17314.5,1234.25,5697.75,1148.5,187.75,591.75,1.0,594.5
15,15,2018,87.5,4.25,63.0,3.0,419.0,1139.25,5046.75,36.0,4093.0,4239.25,30.5,4568.25,4922.75,49.75,5379.25,7.75,10.0,2140.25,45.5,22.5,6734.5,131.5,1770.0,90.75,52.25,8.75,0.0,21.25,42.0,1577.0,412.0,22.0,8.25,3.75,0.0,33.75,145.25,37.5,2.75,9.25,3.5,50.5,4136.25,4077.5,490.25,1.5,3225.5,135.5,101.25,8509.75,6.75,47.0,83.25,3345.5,1033.75,9.25,7990.75,201.75,38.5,370.25,169.0,5.5,611.25,441.0,10.75,803.25,516.0,16727.75,1134.0,5907.25,1176.75,266.5,547.25,0.5,610.5
16,16,2019,79.5,5.25,68.5,2.75,397.25,1261.75,5459.75,38.25,4035.75,4188.0,38.75,5327.5,5042.25,48.0,5479.25,10.25,6.25,2175.5,49.75,24.0,6989.75,316.25,1640.25,69.5,58.25,20.0,0.75,21.75,51.5,1979.75,424.75,15.75,4.75,7.0,0.0,31.75,132.0,39.75,1.5,8.0,6.75,62.25,4506.25,4425.5,524.0,3.25,3454.25,178.5,126.5,8603.5,15.25,52.25,83.75,3898.25,1195.75,27.75,8099.0,212.5,31.0,341.75,158.5,8.75,586.0,444.0,5.25,840.75,350.0,17036.0,1076.5,6169.5,1186.5,312.25,568.5,0.75,671.75
17,17,2020,85.75,1.75,73.0,1.25,345.5,1066.0,4768.25,58.75,2571.0,2721.25,46.25,5781.75,4486.0,94.25,4880.0,7.25,9.25,2186.5,56.5,21.25,6122.75,659.5,1290.0,56.0,86.75,14.5,0.5,26.75,72.75,1962.75,422.25,17.75,4.75,5.25,0.25,33.25,75.5,48.5,0.5,7.75,4.75,75.5,2742.0,2653.75,605.5,3.75,2891.5,239.5,114.5,6595.5,9.0,58.0,77.25,3940.75,1502.0,8.25,7257.0,199.75,13.0,251.5,96.5,2.5,455.5,392.25,3.0,767.25,427.5,12865.25,445.0,4884.25,940.5,383.75,610.0,0.75,772.0
18,18,2021,73.75,8.5,58.5,1.0,348.75,1218.75,5088.0,100.75,2037.5,2146.75,39.25,5005.5,4426.5,60.75,4822.0,14.0,7.0,2070.25,38.75,18.75,6033.0,617.5,1246.25,57.25,59.5,12.5,1.0,25.0,42.75,4272.75,484.25,13.75,4.0,5.75,0.0,37.5,66.25,46.75,1.0,5.75,3.75,82.5,3067.0,2969.25,515.25,3.25,2965.0,207.0,135.25,5519.25,12.0,42.25,50.75,3463.5,1268.5,16.0,7097.5,232.5,10.0,193.5,98.5,1.5,433.5,468.25,3.5,879.25,409.75,11697.75,305.25,4883.75,989.5,416.25,562.5,1.0,631.5
19,19,2022,71.75,9.5,59.25,2.0,348.0,1527.75,5959.5,139.25,2236.75,2366.25,26.75,4321.75,5042.75,33.5,5422.25,12.5,7.0,2052.75,35.25,18.5,6654.25,472.0,1378.75,57.0,59.0,14.75,1.0,25.0,37.5,2911.5,485.75,19.0,4.5,9.25,0.0,39.0,59.5,31.5,1.0,11.0,3.0,92.75,3657.75,3547.5,538.0,7.5,3495.75,161.0,148.5,7389.0,10.0,47.25,70.25,3030.0,1088.0,15.0,7816.0,237.5,13.75,239.5,109.5,2.0,517.0,520.75,2.25,946.25,472.0,16459.75,648.5,6872.0,1550.25,447.25,601.5,0.75,656.0
20,20,2023,64.5,2.5,64.0,2.0,370.0,1322.0,5820.0,213.5,2151.5,2291.0,24.0,4429.0,5232.0,23.0,5639.5,5.5,2.5,1935.5,22.0,22.5,6097.5,442.5,1299.5,61.5,57.0,11.5,4.5,26.0,11.5,2659.5,501.5,12.5,5.0,10.0,0.0,33.5,41.0,37.5,0.5,9.5,2.0,67.0,3500.5,3420.5,542.0,4.5,3566.5,156.5,123.5,7722.0,8.5,50.0,75.5,2920.0,1319.5,18.0,7146.0,235.5,18.5,262.0,117.0,0.5,617.0,481.5,2.0,865.5,357.0,18164.0,789.5,7698.5,1954.0,428.0,614.0,0.5,637.5
